,ds,output,0,1,2,3,4,5,6
404,2015-06-16,23 17 18 30 13 01 15,23,17,18,30,13,01,15
403,2015-06-18,29 07 19 21 13 01 15,29,07,19,21,13,01,15
402,2015-06-21,28 29 08 18 20 31 08,28,29,08,18,20,31,08
401,2015-06-23,01 31 05 20 03 21 05,01,31,05,20,03,21,05
400,2015-06-25,02 27 26 01 22 17 04,02,27,26,01,22,17,04
399,2015-06-28,21 29 04 26 25 07 08,21,29,04,26,25,07,08
398,2015-06-30,06 19 32 13 21 11 04,06,19,32,13,21,11,04
397,2015-07-02,01 09 27 10 19 23 09,01,09,27,10,19,23,09
396,2015-07-05,27 06 13 08 10 01 16,27,06,13,08,10,01,16
395,2015-07-07,22 07 26 29 03 20 02,22,07,26,29,03,20,02
394,2015-07-09,15 09 32 14 20 26 11,15,09,32,14,20,26,11
393,2015-07-12,30 14 25 17 27 28 02,30,14,25,17,27,28,02
392,2015-07-14,31 28 13 22 20 26 13,31,28,13,22,20,26,13
391,2015-07-16,14 09 02 28 30 08 07,14,09,02,28,30,08,07
390,2015-07-19,18 07 06 32 16 29 05,18,07,06,32,16,29,05
389,2015-07-21,29 28 15 20 22 18 15,29,28,15,20,22,18,15
388,2015-07-23,25 08 02 28 27 29 05,25,08,02,28,27,29,05
387,2015-07-26,06 05 18 16 08 22 12,06,05,18,16,08,22,12
386,2015-07-28,20 15 09 28 19 16 11,20,15,09,28,19,16,11
385,2015-07-30,02 12 29 31 20 24 09,02,12,29,31,20,24,09
384,2015-08-02,28 14 29 19 12 27 01,28,14,29,19,12,27,01
383,2015-08-04,12 33 22 10 25 14 15,12,33,22,10,25,14,15
382,2015-08-06,17 22 07 05 19 31 11,17,22,07,05,19,31,11
381,2015-08-09,27 26 09 19 21 15 01,27,26,09,19,21,15,01
380,2015-08-11,31 01 25 21 13 03 08,31,01,25,21,13,03,08
379,2015-08-13,16 06 17 04 13 01 10,16,06,17,04,13,01,10
378,2015-08-16,30 28 31 04 15 21 04,30,28,31,04,15,21,04
377,2015-08-18,31 23 24 16 17 06 07,31,23,24,16,17,06,07
376,2015-08-20,14 27 20 12 09 26 04,14,27,20,12,09,26,04
375,2015-08-23,26 09 13 27 33 06 01,26,09,13,27,33,06,01
374,2015-08-25,07 14 22 11 06 10 09,07,14,22,11,06,10,09
373,2015-08-27,19 21 03 11 17 02 08,19,21,03,11,17,02,08
372,2015-08-30,22 16 29 28 24 08 05,22,16,29,28,24,08,05
371,2015-09-01,07 14 12 23 09 21 06,07,14,12,23,09,21,06
370,2015-09-03,30 32 08 06 13 26 14,30,32,08,06,13,26,14
369,2015-09-06,23 21 09 18 26 25 01,23,21,09,18,26,25,01
368,2015-09-08,10 09 26 19 16 20 12,10,09,26,19,16,20,12
367,2015-09-10,31 32 03 04 01 23 13,31,32,03,04,01,23,13
366,2015-09-13,07 18 21 25 16 14 08,07,18,21,25,16,14,08
365,2015-09-15,02 24 12 27 22 19 15,02,24,12,27,22,19,15
364,2015-09-17,33 16 09 01 32 08 13,33,16,09,01,32,08,13
363,2015-09-20,16 05 22 07 23 17 04,16,05,22,07,23,17,04
362,2015-09-22,20 16 14 30 08 18 12,20,16,14,30,08,18,12
361,2015-09-24,03 27 10 19 20 01 11,03,27,10,19,20,01,11
360,2015-09-27,27 07 05 19 01 08 12,27,07,05,19,01,08,12
359,2015-09-29,13 21 26 04 07 09 01,13,21,26,04,07,09,01
358,2015-10-01,07 01 32 24 14 08 03,07,01,32,24,14,08,03
357,2015-10-04,23 15 04 26 06 28 11,23,15,04,26,06,28,11
356,2015-10-06,11 04 26 12 32 18 12,11,04,26,12,32,18,12
355,2015-10-08,21 01 23 31 11 04 12,21,01,23,31,11,04,12
354,2015-10-11,31 23 18 02 10 08 08,31,23,18,02,10,08,08
353,2015-10-13,21 24 29 16 27 26 16,21,24,29,16,27,26,16
352,2015-10-15,03 21 20 01 29 28 12,03,21,20,01,29,28,12
351,2015-10-18,22 05 16 25 11 07 07,22,05,16,25,11,07,07
350,2015-10-20,22 05 28 09 12 08 07,22,05,28,09,12,08,07
349,2015-10-22,03 27 02 05 18 12 01,03,27,02,05,18,12,01
348,2015-10-25,27 30 13 33 22 05 10,27,30,13,33,22,05,10
347,2015-10-27,23 10 29 15 20 11 12,23,10,29,15,20,11,12
346,2015-10-29,22 07 19 27 33 10 06,22,07,19,27,33,10,06
345,2015-11-01,08 11 22 01 28 03 06,08,11,22,01,28,03,06
344,2015-11-03,05 08 16 27 11 18 04,05,08,16,27,11,18,04
343,2015-11-05,15 17 06 22 14 16 10,15,17,06,22,14,16,10
342,2015-11-08,10 22 13 26 19 12 03,10,22,13,26,19,12,03
341,2015-11-10,03 28 11 05 30 33 01,03,28,11,05,30,33,01
340,2015-11-12,24 03 02 20 22 13 15,24,03,02,20,22,13,15
339,2015-11-15,14 19 27 05 31 02 04,14,19,27,05,31,02,04
338,2015-11-17,14 18 01 26 32 12 07,14,18,01,26,32,12,07
337,2015-11-19,05 28 12 02 29 23 01,05,28,12,02,29,23,01
336,2015-11-22,27 31 28 14 22 23 12,27,31,28,14,22,23,12
335,2015-11-24,08 01 24 16 19 02 11,08,01,24,16,19,02,11
334,2015-11-26,13 18 25 01 10 27 09,13,18,25,01,10,27,09
333,2015-11-29,28 30 29 20 06 31 12,28,30,29,20,06,31,12
332,2015-12-01,28 25 03 08 19 27 02,28,25,03,08,19,27,02
331,2015-12-03,22 13 17 20 19 25 11,22,13,17,20,19,25,11
330,2015-12-06,20 15 19 13 21 32 04,20,15,19,13,21,32,04
329,2015-12-08,07 32 15 04 28 01 16,07,32,15,04,28,01,16
328,2015-12-10,08 07 19 24 15 20 13,08,07,19,24,15,20,13
327,2015-12-13,17 28 16 30 32 21 15,17,28,16,30,32,21,15
326,2015-12-15,23 30 08 09 16 24 05,23,30,08,09,16,24,05
325,2015-12-17,14 09 27 26 13 22 07,14,09,27,26,13,22,07
324,2015-12-20,09 21 33 10 22 20 09,09,21,33,10,22,20,09
323,2015-12-22,08 01 03 31 11 29 13,08,01,03,31,11,29,13
322,2015-12-24,32 05 06 31 23 08 11,32,05,06,31,23,08,11
321,2015-12-27,18 32 11 19 21 29 12,18,32,11,19,21,29,12
320,2015-12-29,11 15 27 08 29 22 03,11,15,27,08,29,22,03
319,2015-12-31,25 11 18 07 15 09 07,25,11,18,07,15,09,07
318,2016-01-03,18 22 20 16 13 06 13,18,22,20,16,13,06,13
317,2016-01-05,09 14 30 17 24 20 16,09,14,30,17,24,20,16
316,2016-01-07,10 14 26 28 23 01 01,10,14,26,28,23,01,01
315,2016-01-10,08 22 10 17 25 33 12,08,22,10,17,25,33,12
314,2016-01-12,20 31 11 14 18 33 14,20,31,11,14,18,33,14
313,2016-01-14,31 16 28 18 20 13 12,31,16,28,18,20,13,12
312,2016-01-17,12 20 14 27 29 05 06,12,20,14,27,29,05,06
311,2016-01-19,29 33 15 02 32 24 02,29,33,15,02,32,24,02
310,2016-01-21,27 14 24 25 32 10 04,27,14,24,25,32,10,04
309,2016-01-24,12 14 02 04 25 19 06,12,14,02,04,25,19,06
308,2016-01-26,22 29 10 03 08 15 12,22,29,10,03,08,15,12
307,2016-01-28,32 12 16 07 14 27 15,32,12,16,07,14,27,15
306,2016-01-31,21 22 31 07 26 12 01,21,22,31,07,26,12,01
305,2016-02-02,02 10 27 20 08 18 07,02,10,27,20,08,18,07
304,2016-02-04,26 22 25 14 01 02 07,26,22,25,14,01,02,07
303,2016-02-14,22 20 01 25 26 24 16,22,20,01,25,26,24,16
302,2016-02-16,20 08 30 05 22 06 05,20,08,30,05,22,06,05
301,2016-02-18,14 17 13 21 25 12 04,14,17,13,21,25,12,04
300,2016-02-21,06 17 13 16 30 23 10,06,17,13,16,30,23,10
299,2016-02-23,01 12 22 10 02 24 10,01,12,22,10,02,24,10
298,2016-02-25,13 11 22 26 24 09 05,13,11,22,26,24,09,05
297,2016-02-28,23 22 30 19 04 09 07,23,22,30,19,04,09,07
296,2016-03-01,03 29 25 06 10 19 07,03,29,25,06,10,19,07
295,2016-03-03,02 05 07 31 14 18 13,02,05,07,31,14,18,13
294,2016-03-06,11 04 30 12 24 17 12,11,04,30,12,24,17,12
293,2016-03-08,30 09 12 04 28 33 01,30,09,12,04,28,33,01
292,2016-03-10,11 15 13 17 19 31 05,11,15,13,17,19,31,05
291,2016-03-13,25 29 21 12 06 08 01,25,29,21,12,06,08,01
290,2016-03-15,18 20 21 27 12 15 15,18,20,21,27,12,15,15
289,2016-03-17,22 14 19 25 10 29 12,22,14,19,25,10,29,12
288,2016-03-20,03 10 19 08 33 26 03,03,10,19,08,33,26,03
287,2016-03-22,14 15 08 27 21 12 15,14,15,08,27,21,12,15
286,2016-03-24,06 17 20 18 29 27 15,06,17,20,18,29,27,15
285,2016-03-27,15 28 21 22 03 23 15,15,28,21,22,03,23,15
284,2016-03-29,19 29 13 04 26 20 11,19,29,13,04,26,20,11
283,2016-03-31,20 22 04 07 03 09 03,20,22,04,07,03,09,03
282,2016-04-03,31 33 32 06 15 26 16,31,33,32,06,15,26,16
281,2016-04-05,12 22 13 29 03 28 03,12,22,13,29,03,28,03
280,2016-04-07,07 01 19 18 27 03 16,07,01,19,18,27,03,16
279,2016-04-10,23 19 20 03 13 26 03,23,19,20,03,13,26,03
278,2016-04-12,18 21 12 22 24 17 04,18,21,12,22,24,17,04
277,2016-04-14,17 31 07 23 26 14 09,17,31,07,23,26,14,09
276,2016-04-17,30 26 20 33 05 14 12,30,26,20,33,05,14,12
275,2016-04-19,10 30 03 12 18 01 01,10,30,03,12,18,01,01
274,2016-04-21,04 32 17 09 30 12 03,04,32,17,09,30,12,03
273,2016-04-24,30 25 20 26 07 27 14,30,25,20,26,07,27,14
272,2016-04-26,05 08 22 02 17 15 16,05,08,22,02,17,15,16
271,2016-04-28,15 08 13 14 03 30 04,15,08,13,14,03,30,04
270,2016-05-01,08 13 06 14 22 27 10,08,13,06,14,22,27,10
269,2016-05-03,28 29 09 24 12 30 02,28,29,09,24,12,30,02
268,2016-05-05,33 09 15 01 04 02 12,33,09,15,01,04,02,12
267,2016-05-08,13 28 19 01 24 06 16,13,28,19,01,24,06,16
266,2016-05-10,08 31 29 10 12 02 01,08,31,29,10,12,02,01
265,2016-05-12,16 11 28 19 32 06 04,16,11,28,19,32,06,04
264,2016-05-15,16 10 22 26 05 06 11,16,10,22,26,05,06,11
263,2016-05-17,18 11 03 16 04 08 14,18,11,03,16,04,08,14
262,2016-05-19,26 19 23 22 12 07 11,26,19,23,22,12,07,11
261,2016-05-22,18 03 05 20 24 32 11,18,03,05,20,24,32,11
260,2016-05-24,28 04 25 20 11 12 15,28,04,25,20,11,12,15
259,2016-05-26,05 22 29 04 26 32 08,05,22,29,04,26,32,08
258,2016-05-29,05 20 06 32 18 08 08,05,20,06,32,18,08,08
257,2016-05-31,19 21 12 18 13 15 09,19,21,12,18,13,15,09
256,2016-06-02,28 18 17 23 32 16 07,28,18,17,23,32,16,07
255,2016-06-05,26 12 19 17 03 14 03,26,12,19,17,03,14,03
254,2016-06-07,13 26 16 27 22 25 14,13,26,16,27,22,25,14
253,2016-06-09,13 07 20 03 18 19 05,13,07,20,03,18,19,05
252,2016-06-12,09 18 31 13 27 20 04,09,18,31,13,27,20,04
251,2016-06-14,28 19 08 23 31 32 01,28,19,08,23,31,32,01
250,2016-06-16,11 21 27 20 10 08 11,11,21,27,20,10,08,11
249,2016-06-19,06 03 11 29 23 18 01,06,03,11,29,23,18,01
248,2016-06-21,29 28 21 26 19 32 01,29,28,21,26,19,32,01
247,2016-06-23,25 19 05 16 24 22 02,25,19,05,16,24,22,02
246,2016-06-26,12 11 16 09 15 20 13,12,11,16,09,15,20,13
245,2016-06-28,11 10 12 06 20 25 12,11,10,12,06,20,25,12
244,2016-06-30,29 06 16 01 03 32 07,29,06,16,01,03,32,07
243,2016-07-03,08 22 30 32 13 07 01,08,22,30,32,13,07,01
242,2016-07-05,29 19 17 09 20 01 10,29,19,17,09,20,01,10
241,2016-07-07,04 02 29 23 26 08 02,04,02,29,23,26,08,02
240,2016-07-10,10 12 24 28 01 03 02,10,12,24,28,01,03,02
239,2016-07-12,17 24 25 16 32 01 14,17,24,25,16,32,01,14
238,2016-07-14,15 02 30 25 32 06 07,15,02,30,25,32,06,07
237,2016-07-17,20 15 12 17 06 14 09,20,15,12,17,06,14,09
236,2016-07-19,30 09 17 31 16 24 04,30,09,17,31,16,24,04
235,2016-07-21,24 02 18 12 04 26 05,24,02,18,12,04,26,05
234,2016-07-24,25 12 19 20 21 01 16,25,12,19,20,21,01,16
233,2016-07-26,12 10 32 11 15 09 05,12,10,32,11,15,09,05
232,2016-07-28,14 11 10 03 02 21 12,14,11,10,03,02,21,12
231,2016-07-31,14 33 25 03 16 18 15,14,33,25,03,16,18,15
230,2016-08-02,31 01 14 30 32 03 08,31,01,14,30,32,03,08
229,2016-08-04,26 02 21 20 13 17 07,26,02,21,20,13,17,07
228,2016-08-07,22 14 04 23 28 08 07,22,14,04,23,28,08,07
227,2016-08-09,02 23 13 24 29 15 06,02,23,13,24,29,15,06
226,2016-08-11,06 25 17 09 27 15 09,06,25,17,09,27,15,09
225,2016-08-14,07 06 31 18 10 12 10,07,06,31,18,10,12,10
224,2016-08-16,12 01 09 18 05 32 12,12,01,09,18,05,32,12
223,2016-08-18,06 14 21 22 24 13 16,06,14,21,22,24,13,16
222,2016-08-21,28 13 25 26 31 06 01,28,13,25,26,31,06,01
221,2016-08-23,02 32 08 29 25 31 06,02,32,08,29,25,31,06
220,2016-08-25,01 11 33 21 27 23 06,01,11,33,21,27,23,06
219,2016-08-28,23 03 10 22 29 27 04,23,03,10,22,29,27,04
218,2016-08-30,33 24 19 03 32 01 01,33,24,19,03,32,01,01
217,2016-09-01,10 30 05 14 08 17 13,10,30,05,14,08,17,13
216,2016-09-04,27 13 24 19 01 05 11,27,13,24,19,01,05,11
215,2016-09-06,09 18 30 11 31 05 04,09,18,30,11,31,05,04
214,2016-09-08,08 27 28 31 19 10 16,08,27,28,31,19,10,16
213,2016-09-11,13 04 30 22 05 25 04,13,04,30,22,05,25,04
212,2016-09-13,11 26 32 18 27 06 01,11,26,32,18,27,06,01
211,2016-09-15,03 07 26 19 02 08 16,03,07,26,19,02,08,16
210,2016-09-18,11 16 15 33 09 27 05,11,16,15,33,09,27,05
209,2016-09-20,32 28 05 31 07 33 08,32,28,05,31,07,33,08
208,2016-09-22,15 14 04 32 07 02 04,15,14,04,32,07,02,04
207,2016-09-25,15 12 25 06 18 14 12,15,12,25,06,18,14,12
206,2016-09-27,11 26 01 16 17 20 14,11,26,01,16,17,20,14
205,2016-09-29,16 22 29 05 20 27 09,16,22,29,05,20,27,09
204,2016-10-02,22 27 20 26 08 06 09,22,27,20,26,08,06,09
203,2016-10-04,20 07 27 23 18 31 13,20,07,27,23,18,31,13
202,2016-10-06,17 14 10 28 33 03 02,17,14,10,28,33,03,02
201,2016-10-09,14 33 31 23 09 22 14,14,33,31,23,09,22,14
200,2016-10-11,09 32 30 21 19 31 04,09,32,30,21,19,31,04
199,2016-10-13,06 21 28 25 02 05 09,06,21,28,25,02,05,09
198,2016-10-16,28 23 02 10 25 03 09,28,23,02,10,25,03,09
197,2016-10-18,15 28 23 29 22 24 08,15,28,23,29,22,24,08
196,2016-10-20,09 20 12 27 14 07 16,09,20,12,27,14,07,16
195,2016-10-23,32 21 09 15 27 24 10,32,21,09,15,27,24,10
194,2016-10-25,01 08 06 30 20 27 03,01,08,06,30,20,27,03
193,2016-10-27,12 18 06 02 19 17 10,12,18,06,02,19,17,10
192,2016-10-30,17 12 07 29 31 26 16,17,12,07,29,31,26,16
191,2016-11-01,11 09 27 26 04 17 13,11,09,27,26,04,17,13
190,2016-11-03,33 06 08 31 05 21 14,33,06,08,31,05,21,14
189,2016-11-06,23 17 27 21 03 28 01,23,17,27,21,03,28,01
188,2016-11-08,19 18 25 27 10 04 02,19,18,25,27,10,04,02
187,2016-11-10,28 05 08 19 27 13 07,28,05,08,19,27,13,07
186,2016-11-13,15 22 21 27 33 16 15,15,22,21,27,33,16,15
185,2016-11-15,33 18 13 11 12 14 13,33,18,13,11,12,14,13
184,2016-11-17,33 20 02 08 18 10 12,33,20,02,08,18,10,12
183,2016-11-20,10 27 02 29 20 07 03,10,27,02,29,20,07,03
182,2016-11-22,32 15 10 06 01 09 14,32,15,10,06,01,09,14
181,2016-11-24,07 20 24 30 25 16 07,07,20,24,30,25,16,07
180,2016-11-27,28 19 26 30 06 01 03,28,19,26,30,06,01,03
179,2016-11-29,32 26 02 17 01 05 10,32,26,02,17,01,05,10
178,2016-12-01,24 21 04 17 13 15 15,24,21,04,17,13,15,15
177,2016-12-04,21 30 10 23 01 17 12,21,30,10,23,01,17,12
176,2016-12-06,09 06 24 23 25 33 13,09,06,24,23,25,33,13
175,2016-12-08,27 10 04 12 33 32 05,27,10,04,12,33,32,05
174,2016-12-11,01 03 07 12 19 20 06,01,03,07,12,19,20,06
173,2016-12-13,03 15 17 07 16 23 10,03,15,17,07,16,23,10
172,2016-12-15,14 28 31 32 18 04 12,14,28,31,32,18,04,12
171,2016-12-18,20 01 26 11 30 02 14,20,01,26,11,30,02,14
170,2016-12-20,32 26 23 20 03 33 07,32,26,23,20,03,33,07
169,2016-12-22,21 04 09 02 05 13 05,21,04,09,02,05,13,05
168,2016-12-25,11 06 20 22 16 33 07,11,06,20,22,16,33,07
167,2016-12-27,08 09 20 22 16 02 07,08,09,20,22,16,02,07
166,2016-12-29,09 16 25 07 29 24 06,09,16,25,07,29,24,06
165,2017-01-01,26 09 20 25 14 11 15,26,09,20,25,14,11,15
164,2017-01-03,24 32 23 19 25 15 03,24,32,23,19,25,15,03
163,2017-01-05,01 27 15 32 08 04 16,01,27,15,32,08,04,16
162,2017-01-08,30 27 05 17 13 26 07,30,27,05,17,13,26,07
161,2017-01-10,11 12 23 06 30 22 05,11,12,23,06,30,22,05
160,2017-01-12,26 29 04 02 08 33 08,26,29,04,02,08,33,08
159,2017-01-15,26 33 02 04 24 05 15,26,33,02,04,24,05,15
158,2017-01-17,28 13 15 07 29 27 13,28,13,15,07,29,27,13
157,2017-01-19,02 08 29 09 15 06 14,02,08,29,09,15,06,14
156,2017-01-22,28 05 30 25 08 19 07,28,05,30,25,08,19,07
155,2017-01-24,26 10 29 23 12 11 16,26,10,29,23,12,11,16
154,2017-01-26,11 16 24 10 15 14 07,11,16,24,10,15,14,07
153,2017-02-05,28 31 33 08 11 29 06,28,31,33,08,11,29,06
152,2017-02-07,18 06 20 31 23 08 13,18,06,20,31,23,08,13
151,2017-02-09,08 01 32 09 17 14 01,08,01,32,09,17,14,01
150,2017-02-12,08 29 27 05 16 22 02,08,29,27,05,16,22,02
149,2017-02-14,10 03 08 07 22 23 12,10,03,08,07,22,23,12
148,2017-02-16,01 31 25 02 17 03 09,01,31,25,02,17,03,09
147,2017-02-19,25 04 12 06 23 08 08,25,04,12,06,23,08,08
146,2017-02-21,31 12 04 08 33 10 10,31,12,04,08,33,10,10
145,2017-02-23,05 10 33 02 22 32 09,05,10,33,02,22,32,09
144,2017-02-26,16 18 06 15 02 32 15,16,18,06,15,02,32,15
143,2017-02-28,03 04 22 18 01 11 14,03,04,22,18,01,11,14
142,2017-03-02,25 21 09 29 31 26 13,25,21,09,29,31,26,13
141,2017-03-05,15 02 22 17 16 32 07,15,02,22,17,16,32,07
140,2017-03-07,30 19 10 03 12 27 08,30,19,10,03,12,27,08
139,2017-03-09,11 30 27 02 14 04 05,11,30,27,02,14,04,05
138,2017-03-12,07 08 12 30 13 22 09,07,08,12,30,13,22,09
137,2017-03-14,25 23 30 02 15 21 10,25,23,30,02,15,21,10
136,2017-03-16,09 23 30 07 01 20 02,09,23,30,07,01,20,02
135,2017-03-19,26 10 06 27 29 16 03,26,10,06,27,29,16,03
134,2017-03-21,24 27 31 15 05 08 11,24,27,31,15,05,08,11
133,2017-03-23,30 23 05 07 15 20 15,30,23,05,07,15,20,15
132,2017-03-26,19 32 04 08 33 07 13,19,32,04,08,33,07,13
131,2017-03-28,28 01 32 06 24 14 12,28,01,32,06,24,14,12
130,2017-03-30,10 24 02 27 01 05 15,10,24,02,27,01,05,15
129,2017-04-02,25 11 30 20 22 15 05,25,11,30,20,22,15,05
128,2017-04-04,01 04 13 08 24 27 05,01,04,13,08,24,27,05
127,2017-04-06,02 12 04 17 24 14 15,02,12,04,17,24,14,15
126,2017-04-09,33 28 19 23 29 15 04,33,28,19,23,29,15,04
125,2017-04-11,13 27 22 04 15 10 04,13,27,22,04,15,10,04
124,2017-04-13,23 02 07 04 10 01 04,23,02,07,04,10,01,04
123,2017-04-16,08 13 23 16 27 31 08,08,13,23,16,27,31,08
122,2017-04-18,08 31 16 19 32 21 06,08,31,16,19,32,21,06
121,2017-04-20,16 25 07 21 05 20 05,16,25,07,21,05,20,05
120,2017-04-23,04 13 26 32 23 14 10,04,13,26,32,23,14,10
119,2017-04-25,33 10 08 32 05 02 02,33,10,08,32,05,02,02
118,2017-04-27,09 14 15 19 05 08 07,09,14,15,19,05,08,07
117,2017-04-30,14 08 15 29 01 20 10,14,08,15,29,01,20,10
116,2017-05-02,27 12 20 29 10 24 07,27,12,20,29,10,24,07
115,2017-05-04,09 15 24 02 05 25 11,09,15,24,02,05,25,11
114,2017-05-07,31 08 18 24 07 29 07,31,08,18,24,07,29,07
113,2017-05-09,15 04 09 31 29 11 06,15,04,09,31,29,11,06
112,2017-05-11,09 02 33 28 23 03 08,09,02,33,28,23,03,08
111,2017-05-14,12 24 13 20 31 07 05,12,24,13,20,31,07,05
110,2017-05-16,13 21 14 18 19 28 06,13,21,14,18,19,28,06
109,2017-05-18,18 31 30 20 22 23 16,18,31,30,20,22,23,16
108,2017-05-21,01 09 28 22 32 13 11,01,09,28,22,32,13,11
107,2017-05-23,15 25 09 19 08 04 09,15,25,09,19,08,04,09
106,2017-05-25,26 10 13 24 05 31 04,26,10,13,24,05,31,04
105,2017-05-28,06 20 12 26 07 27 11,06,20,12,26,07,27,11
104,2017-05-30,26 31 22 24 07 01 10,26,31,22,24,07,01,10
103,2017-06-01,12 25 22 31 20 16 04,12,25,22,31,20,16,04
102,2017-06-04,16 10 24 02 28 22 15,16,10,24,02,28,22,15
101,2017-06-06,02 08 10 12 05 21 07,02,08,10,12,05,21,07
100,2017-06-08,26 01 04 17 06 19 03,26,01,04,17,06,19,03
99,2017-06-11,01 29 03 10 04 18 04,01,29,03,10,04,18,04
98,2017-06-13,02 30 22 10 31 06 15,02,30,22,10,31,06,15
97,2017-06-15,11 31 02 29 23 12 05,11,31,02,29,23,12,05
96,2017-06-18,25 01 22 06 14 26 12,25,01,22,06,14,26,12
